ID,town,country,age,job,married,education,arrears,current_balance,housing,has_tv_package,last_contact,conn_tr,last_contact_this_campaign_day,last_contact_this_campaign_month,this_campaign,days_since_last_contact_previous_campaign,contacted_during_previous_campaign,outcome_previous_campaign,new_contract_this_campaign
32390233,Bristol,UK,39,management,married,tertiary,no,-1.9,no,yes,unknown,4,11,jun,8,-1,0,unknown,yes
41226029,Basildon,UK,53,housemaid,married,primary,no,3.62,no,no,cellular,1,28,jul,2,-1,0,unknown,yes
85498057,Blackburn,UK,79,retired,divorced,primary,no,27.87,no,no,telephone,3,13,jul,1,377,1,success,yes
76539627,Oldham,UK,43,services,single,secondary,no,5.5,yes,no,cellular,3,13,may,2,-1,0,unknown,no
76290986,Middlesbrough,UK,35,technician,single,secondary,no,3.44,no,no,cellular,2,27,aug,16,-1,0,unknown,yes
68021702,Poole,UK,24,student,single,secondary,no,1.39,no,no,cellular,2,9,sep,4,-1,0,unknown,yes
96070931,Stockport,UK,49,blue-collar,divorced,primary,no,0.24,yes,no,cellular,2,11,may,1,362,1,success,yes
30634833,Wolverhampton,UK,54,self-employed,single,tertiary,no,3.84,no,yes,cellular,4,27,may,1,-1,0,unknown,yes
86937259,Eastbourne,UK,29,services,married,primary,no,-1.02,no,no,unknown,5,4,jul,1,-1,0,unknown,no
61290308,Weston-super-Mare,UK,56,blue-collar,single,secondary,no,11.87,yes,no,cellular,2,5,feb,2,-1,0,unknown,no
76902524,London,UK,47,blue-collar,married,primary,no,41.57,no,no,unknown,1,11,jun,3,-1,0,unknown,no
35727526,Bristol,UK,33,blue-collar,married,secondary,no,0,yes,no,cellular,1,19,nov,2,-1,0,unknown,no
16802872,Sheffield,UK,41,blue-collar,married,secondary,no,1.93,yes,no,unknown,1,29,may,1,-1,0,unknown,no
62778549,Leeds,UK,41,blue-collar,married,secondary,no,28.23,yes,no,unknown,1,14,may,1,-1,0,unknown,yes
31483237,Raleigh,UK,44,admin.,single,secondary,no,15.34,no,no,cellular,4,7,aug,1,99,2,other,yes
99473155,Cambridge,UK,29,technician,single,secondary,no,5.9,no,no,cellular,2,25,may,1,-1,0,unknown,yes
44042963,Kingston upon Hull,UK,53,blue-collar,married,secondary,no,57,yes,no,unknown,3,14,may,1,-1,0,unknown,no
77345705,Bristol,UK,56,unemployed,single,primary,no,11.1,no,no,cellular,3,4,feb,2,-1,0,unknown,yes
23771239,Milton Keynes,UK,32,management,married,tertiary,no,0.62,yes,n,telephone,2,13,nov,1,-1,0,unknown,no
27238445,Nottingham,UK,42,admin.,married,primary,no,15.47,yes,yes,unknown,2,27,may,3,-1,0,unknown,no
93519999,Woking,UK,41,technician,divorced,secondary,no,16.31,yes,no,cellular,2,12,aug,2,-1,0,unknown,no
31778246,Birmingham,UK,66,management,married,secondary,no,5.87,no,no,cellular,2,12,may,2,392,2,success,yes
63124393,Bristol,UK,37,management,married,tertiary,no,67.71,no,no,cellular,4,5,mar,1,-1,0,unknown,yes
74234105,Basingstoke,UK,34,blue-collar,single,secondary,no,0.79,no,yes,cellular,2,20,nov,1,-1,0,unknown,no
30895310,Oxford,UK,55,admin.,married,secondary,no,6.02,no,no,cellular,1,4,feb,2,150,6,success,yes
96457436,Middlesbrough,UK,29,technician,single,tertiary,no,0,yes,no,cellular,5,7,may,2,337,6,failure,yes
